source,target,rate,type
H3|Compromised,H27|Compromised,0.02,spatial
H3|Compromised,H28|Compromised,0.02,spatial
H3|Compromised,H29|Compromised,0.02,spatial
H3|Compromised,H30|Compromised,0.02,spatial
H3|Compromised,H31|Compromised,0.02,spatial
H3|Compromised,H32|Compromised,0.02,spatial
H3|Compromised,H33|Compromised,0.02,spatial
H3|Compromised,H34|Compromised,0.02,spatial
H3|Compromised,H35|Compromised,0.02,spatial
H3|Compromised,H36|Compromised,0.02,spatial
H3|Compromised,H37|Compromised,0.02,spatial
H3|Compromised,H38|Compromised,0.02,spatial
H3|Compromised,H39|Compromised,0.02,spatial
H3|Compromised,H40|Compromised,0.02,spatial
H3|Compromised,H41|Compromised,0.02,spatial
H3|Compromised,H42|Compromised,0.02,spatial
H3|Compromised,H43|Compromised,0.02,spatial
H3|Compromised,H44|Compromised,0.02,spatial
H3|Compromised,H45|Compromised,0.02,spatial
H3|Compromised,H46|Compromised,0.02,spatial
H3|Compromised,H47|Compromised,0.02,spatial
H3|Compromised,H48|Compromised,0.02,spatial
H3|Compromised,H49|Compromised,0.02,spatial
H3|Compromised,H50|Compromised,0.02,spatial
H3|Compromised,H51|Compromised,0.02,spatial
H3|Compromised,H52|Compromised,0.02,spatial
H3|Compromised,H53|Compromised,0.02,spatial
H3|Compromised,H54|Compromised,0.02,spatial
H3|Compromised,H55|Compromised,0.02,spatial
H3|Compromised,H56|Compromised,0.02,spatial
H3|Compromised,H57|Compromised,0.02,spatial
H3|Compromised,H58|Compromised,0.02,spatial
H3|Compromised,H59|Compromised,0.02,spatial
H3|Compromised,H60|Compromised,0.02,spatial
H3|Compromised,H61|Compromised,0.02,spatial
H3|Compromised,H62|Compromised,0.02,spatial
H3|Compromised,H63|Compromised,0.02,spatial
H3|Compromised,H64|Compromised,0.02,spatial
H3|Compromised,H65|Compromised,0.02,spatial
H3|Compromised,H66|Compromised,0.02,spatial
H3|Compromised,H67|Compromised,0.02,spatial
H3|Compromised,H68|Compromised,0.02,spatial
H3|Compromised,H69|Compromised,0.02,spatial
H3|Compromised,H70|Compromised,0.02,spatial
H3|Compromised,H71|Compromised,0.02,spatial
H3|Compromised,H72|Compromised,0.02,spatial
H3|Compromised,H73|Compromised,0.02,spatial
H3|Compromised,H74|Compromised,0.02,spatial
H3|Compromised,H75|Compromised,0.02,spatial
H3|Compromised,H76|Compromised,0.02,spatial
H3|Compromised,H77|Compromised,0.02,spatial
H3|Compromised,H78|Compromised,0.02,spatial
H3|Compromised,H79|Compromised,0.02,spatial
H3|Compromised,H80|Compromised,0.02,spatial
H3|Compromised,H81|Compromised,0.02,spatial
H3|Compromised,H82|Compromised,0.02,spatial
H3|Compromised,H83|Compromised,0.02,spatial
H3|Compromised,H84|Compromised,0.02,spatial
H3|Compromised,H85|Compromised,0.02,spatial
H3|Compromised,H86|Compromised,0.02,spatial
H3|Compromised,H87|Compromised,0.02,spatial
H3|Compromised,H88|Compromised,0.02,spatial
H3|Compromised,H89|Compromised,0.02,spatial
H3|Compromised,H90|Compromised,0.02,spatial
H3|Compromised,H91|Compromised,0.02,spatial
H3|Compromised,H92|Compromised,0.02,spatial
H3|Compromised,H93|Compromised,0.02,spatial
H3|Compromised,H94|Compromised,0.02,spatial
H3|Compromised,H95|Compromised,0.02,spatial
H3|Compromised,H96|Compromised,0.02,spatial
H3|Compromised,H97|Compromised,0.02,spatial
H3|Compromised,H98|Compromised,0.02,spatial
H3|Compromised,H99|Compromised,0.02,spatial
H3|Compromised,H100|Compromised,0.02,spatial
H3|Compromised,H101|Compromised,0.02,spatial
H3|Compromised,H102|Compromised,0.02,spatial
H3|Compromised,H103|Compromised,0.02,spatial
H3|Compromised,H104|Compromised,0.02,spatial
H3|Compromised,H105|Compromised,0.02,spatial
H3|Compromised,H106|Compromised,0.02,spatial
